Hugo_Symbol,submitter_id,expression
CSMD3,TCGA-4T-AA8H,-0.3244
CTNNA2,TCGA-4T-AA8H,1.8429
DCC,TCGA-4T-AA8H,-1.7203
ERBB4,TCGA-4T-AA8H,-1.258
FAM123B,TCGA-4T-AA8H,-0.5855
FAM47C,TCGA-4T-AA8H,-1.3237
FAT1,TCGA-4T-AA8H,-0.2046
FAT3,TCGA-4T-AA8H,-0.1577
FAT4,TCGA-4T-AA8H,-0.6756
FBXW7,TCGA-4T-AA8H,0.0673
GRIN2A,TCGA-4T-AA8H,-1.3662
KRAS,TCGA-4T-AA8H,0.7403
LRP1B,TCGA-4T-AA8H,-0.3296
MLL3,TCGA-4T-AA8H,0.9333
MLL4,TCGA-4T-AA8H,0.7184
MUC16,TCGA-4T-AA8H,-0.2982
MYH11,TCGA-4T-AA8H,-0.1785
NBEA,TCGA-4T-AA8H,-1.4222
PIK3CA,TCGA-4T-AA8H,0.4292
PREX2,TCGA-4T-AA8H,-1.5122
PTPN13,TCGA-4T-AA8H,0.9338
PTPRT,TCGA-4T-AA8H,-0.6861
RNF213,TCGA-4T-AA8H,-0.1506
RNF43,TCGA-4T-AA8H,0.4508
ROBO2,TCGA-4T-AA8H,0.3602
ROS1,TCGA-4T-AA8H,-0.8391
SMAD4,TCGA-4T-AA8H,-0.5501
TCF7L2,TCGA-4T-AA8H,2.1707
TNC,TCGA-4T-AA8H,-0.527
TP53,TCGA-4T-AA8H,0.6512
TRRAP,TCGA-4T-AA8H,0.1568
ZFHX3,TCGA-4T-AA8H,-0.3713
ACVR2A,TCGA-5M-AAT4,-0.797
AKAP9,TCGA-5M-AAT4,0.3771
ANK1,TCGA-5M-AAT4,-0.7239
APC,TCGA-5M-AAT4,0.7395
ARID1A,TCGA-5M-AAT4,-0.1548
ATM,TCGA-5M-AAT4,0.77
ATRX,TCGA-5M-AAT4,0.4405
BCL9,TCGA-5M-AAT4,0.38
BCL9L,TCGA-5M-AAT4,0.9394
BCORL1,TCGA-5M-AAT4,1.2181
BIRC6,TCGA-5M-AAT4,-0.6103
BRAF,TCGA-5M-AAT4,0.761
BRCA2,TCGA-5M-AAT4,0.2107
CARD11,TCGA-5M-AAT4,-1.1436
CDH10,TCGA-5M-AAT4,-1.5957
CDH4,TCGA-5M-AAT4,-0.0484
CNTNAP2,TCGA-5M-AAT4,1.157
CREBBP,TCGA-5M-AAT4,-0.0978
