Hugo_Symbol,submitter_id,expression
CREBBP,TCGA-D5-6531,0.49
CSMD3,TCGA-D5-6531,-1.1649
CTNNA2,TCGA-D5-6531,-0.4887
DCC,TCGA-D5-6531,-0.3321
ERBB4,TCGA-D5-6531,-1.258
FAM123B,TCGA-D5-6531,1.8153
FAM47C,TCGA-D5-6531,-1.3237
FAT1,TCGA-D5-6531,1.0223
FAT3,TCGA-D5-6531,0.2761
FAT4,TCGA-D5-6531,-0.5304
FBXW7,TCGA-D5-6531,-0.1814
GRIN2A,TCGA-D5-6531,0.1985
KRAS,TCGA-D5-6531,0.1908
LRP1B,TCGA-D5-6531,-0.5422
MLL3,TCGA-D5-6531,0.7891
MLL4,TCGA-D5-6531,0.5673
MUC16,TCGA-D5-6531,0.2427
MYH11,TCGA-D5-6531,0.5953
NBEA,TCGA-D5-6531,1.4106
PIK3CA,TCGA-D5-6531,0.0781
PREX2,TCGA-D5-6531,0.1929
PTPN13,TCGA-D5-6531,-0.0133
PTPRT,TCGA-D5-6531,2.1584
RNF213,TCGA-D5-6531,1.9888
RNF43,TCGA-D5-6531,0.8973
ROBO2,TCGA-D5-6531,-0.4356
ROS1,TCGA-D5-6531,-0.698
SMAD4,TCGA-D5-6531,-0.1443
TCF7L2,TCGA-D5-6531,-1.3689
TNC,TCGA-D5-6531,1.1173
TP53,TCGA-D5-6531,0.1503
TRRAP,TCGA-D5-6531,1.4757
ZFHX3,TCGA-D5-6531,0.2707
ACVR2A,TCGA-D5-6532,-1.2422
AKAP9,TCGA-D5-6532,0.1793
ANK1,TCGA-D5-6532,-0.4588
APC,TCGA-D5-6532,-0.2651
ARID1A,TCGA-D5-6532,0.6477
ATM,TCGA-D5-6532,0.4989
ATRX,TCGA-D5-6532,0.8059
BCL9,TCGA-D5-6532,0.1293
BCL9L,TCGA-D5-6532,-0.048
BCORL1,TCGA-D5-6532,0.7156
BIRC6,TCGA-D5-6532,0.2811
BRAF,TCGA-D5-6532,0.076
BRCA2,TCGA-D5-6532,1.5286
CARD11,TCGA-D5-6532,0.781
CDH10,TCGA-D5-6532,-1.5957
CDH4,TCGA-D5-6532,-0.3525
CNTNAP2,TCGA-D5-6532,0.6127
CREBBP,TCGA-D5-6532,-0.1847
CSMD3,TCGA-D5-6532,-1.1649
CTNNA2,TCGA-D5-6532,-1.2877
DCC,TCGA-D5-6532,-0.4762
ERBB4,TCGA-D5-6532,-1.258
FAM123B,TCGA-D5-6532,1.554
FAM47C,TCGA-D5-6532,-1.3237
FAT1,TCGA-D5-6532,1.2225
FAT3,TCGA-D5-6532,0.182
FAT4,TCGA-D5-6532,-0.7332
FBXW7,TCGA-D5-6532,-0.6797
GRIN2A,TCGA-D5-6532,-1.3662
KRAS,TCGA-D5-6532,-0.2973
LRP1B,TCGA-D5-6532,-0.6174
MLL3,TCGA-D5-6532,0.219
MLL4,TCGA-D5-6532,0.0161
MUC16,TCGA-D5-6532,-0.8353
MYH11,TCGA-D5-6532,-0.8499
NBEA,TCGA-D5-6532,-1.1498
PIK3CA,TCGA-D5-6532,-0.0415
PREX2,TCGA-D5-6532,-0.837
PTPN13,TCGA-D5-6532,0.6145
PTPRT,TCGA-D5-6532,1.5022
RNF213,TCGA-D5-6532,0.7033
RNF43,TCGA-D5-6532,0.7559
ROBO2,TCGA-D5-6532,-1.1399
ROS1,TCGA-D5-6532,-1.3388
SMAD4,TCGA-D5-6532,-0.7172
TCF7L2,TCGA-D5-6532,-1.4099
TNC,TCGA-D5-6532,0.0522
TP53,TCGA-D5-6532,0.2188
TRRAP,TCGA-D5-6532,0.7582
ZFHX3,TCGA-D5-6532,-1.5399
ACVR2A,TCGA-D5-6533,-1.2257
AKAP9,TCGA-D5-6533,0.4811
ANK1,TCGA-D5-6533,-0.5638
APC,TCGA-D5-6533,0.641
ARID1A,TCGA-D5-6533,0.083
ATM,TCGA-D5-6533,0.0616
ATRX,TCGA-D5-6533,-0.1405
BCL9,TCGA-D5-6533,0.727
BCL9L,TCGA-D5-6533,-0.306
BCORL1,TCGA-D5-6533,0.2623
BIRC6,TCGA-D5-6533,0.1381
BRAF,TCGA-D5-6533,1.0963
BRCA2,TCGA-D5-6533,1.2475
CARD11,TCGA-D5-6533,0.6538
CDH10,TCGA-D5-6533,-1.5957
CDH4,TCGA-D5-6533,0.0024
CNTNAP2,TCGA-D5-6533,0.77
CREBBP,TCGA-D5-6533,0.5834
CSMD3,TCGA-D5-6533,-0.5894
CTNNA2,TCGA-D5-6533,-0.457
DCC,TCGA-D5-6533,-0.9791
ERBB4,TCGA-D5-6533,-1.258
FAM123B,TCGA-D5-6533,0.4661
FAM47C,TCGA-D5-6533,-1.3237
FAT1,TCGA-D5-6533,-0.7383
FAT3,TCGA-D5-6533,0.2896
FAT4,TCGA-D5-6533,0.3751
FBXW7,TCGA-D5-6533,0.2215
GRIN2A,TCGA-D5-6533,-0.0848
KRAS,TCGA-D5-6533,-0.1722
LRP1B,TCGA-D5-6533,0.4339
MLL3,TCGA-D5-6533,1.0578
MLL4,TCGA-D5-6533,0.755
MUC16,TCGA-D5-6533,-1.0807
MYH11,TCGA-D5-6533,-0.3174
NBEA,TCGA-D5-6533,-0.4689
PIK3CA,TCGA-D5-6533,-0.1129
PREX2,TCGA-D5-6533,-0.2277
PTPN13,TCGA-D5-6533,-1.029
PTPRT,TCGA-D5-6533,-1.8123
RNF213,TCGA-D5-6533,1.2208
RNF43,TCGA-D5-6533,0.9405
ROBO2,TCGA-D5-6533,-0.5183
ROS1,TCGA-D5-6533,0.2953
SMAD4,TCGA-D5-6533,-0.3368
TCF7L2,TCGA-D5-6533,0.4745
TNC,TCGA-D5-6533,-0.6228
TP53,TCGA-D5-6533,0.406
TRRAP,TCGA-D5-6533,1.4813
ZFHX3,TCGA-D5-6533,0.9109
ACVR2A,TCGA-D5-6534,0.1337
AKAP9,TCGA-D5-6534,1.4876
ANK1,TCGA-D5-6534,1.6168
APC,TCGA-D5-6534,0.9706
ARID1A,TCGA-D5-6534,0.168
ATM,TCGA-D5-6534,1.1809
ATRX,TCGA-D5-6534,0.4413
BCL9,TCGA-D5-6534,-0.5745
BCL9L,TCGA-D5-6534,2.822
BCORL1,TCGA-D5-6534,-0.5767
BIRC6,TCGA-D5-6534,0.9268
BRAF,TCGA-D5-6534,0.5082
BRCA2,TCGA-D5-6534,-0.9375
CARD11,TCGA-D5-6534,2.2097
CDH10,TCGA-D5-6534,0.705
CDH4,TCGA-D5-6534,-0.5084
CNTNAP2,TCGA-D5-6534,-0.2479
CREBBP,TCGA-D5-6534,0.931
CSMD3,TCGA-D5-6534,0.7273
CTNNA2,TCGA-D5-6534,0.2097
DCC,TCGA-D5-6534,-1.7203
ERBB4,TCGA-D5-6534,0.2195
FAM123B,TCGA-D5-6534,-0.996
FAM47C,TCGA-D5-6534,-1.3237
FAT1,TCGA-D5-6534,-0.4114
FAT3,TCGA-D5-6534,2.2209
FAT4,TCGA-D5-6534,1.7214
FBXW7,TCGA-D5-6534,0.2123
GRIN2A,TCGA-D5-6534,2.2985
KRAS,TCGA-D5-6534,-0.3447
LRP1B,TCGA-D5-6534,-0.7192
MLL3,TCGA-D5-6534,1.5975
MLL4,TCGA-D5-6534,0.4115
MUC16,TCGA-D5-6534,-0.8792
MYH11,TCGA-D5-6534,1.1182
NBEA,TCGA-D5-6534,1.0954
PIK3CA,TCGA-D5-6534,1.0579
PREX2,TCGA-D5-6534,2.439
PTPN13,TCGA-D5-6534,0.3373
PTPRT,TCGA-D5-6534,0.3253
RNF213,TCGA-D5-6534,0.7033
RNF43,TCGA-D5-6534,-1.6778
ROBO2,TCGA-D5-6534,1.0216
ROS1,TCGA-D5-6534,-0.0458
SMAD4,TCGA-D5-6534,0.6965
TCF7L2,TCGA-D5-6534,-1.2739
TNC,TCGA-D5-6534,0.9605
TP53,TCGA-D5-6534,-0.9
TRRAP,TCGA-D5-6534,0.6732
ZFHX3,TCGA-D5-6534,1.7761
ACVR2A,TCGA-D5-6535,0.0373
AKAP9,TCGA-D5-6535,0.6286
ANK1,TCGA-D5-6535,-0.5524
APC,TCGA-D5-6535,0.4638
ARID1A,TCGA-D5-6535,0.5196
ATM,TCGA-D5-6535,0.1313
ATRX,TCGA-D5-6535,0.9344
BCL9,TCGA-D5-6535,1.2975
BCL9L,TCGA-D5-6535,0.5032
BCORL1,TCGA-D5-6535,-0.1566
BIRC6,TCGA-D5-6535,1.2382
BRAF,TCGA-D5-6535,0.8119
BRCA2,TCGA-D5-6535,0.3956
CARD11,TCGA-D5-6535,1.8988
CDH10,TCGA-D5-6535,-1.5957
CDH4,TCGA-D5-6535,-1.3192
CNTNAP2,TCGA-D5-6535,0.6142
CREBBP,TCGA-D5-6535,1.366
CSMD3,TCGA-D5-6535,-0.557
CTNNA2,TCGA-D5-6535,0.1166
DCC,TCGA-D5-6535,0.4131
ERBB4,TCGA-D5-6535,-1.258
FAM123B,TCGA-D5-6535,0.7493
FAM47C,TCGA-D5-6535,-1.3237
FAT1,TCGA-D5-6535,1.6212
FAT3,TCGA-D5-6535,0.1489
FAT4,TCGA-D5-6535,0.545
FBXW7,TCGA-D5-6535,0.2268
GRIN2A,TCGA-D5-6535,-0.8763
KRAS,TCGA-D5-6535,1.186
LRP1B,TCGA-D5-6535,0.5013
MLL3,TCGA-D5-6535,1.3793
MLL4,TCGA-D5-6535,0.8791
MUC16,TCGA-D5-6535,-0.4737
MYH11,TCGA-D5-6535,-1.2269
NBEA,TCGA-D5-6535,-0.1876
PIK3CA,TCGA-D5-6535,1.3845
PREX2,TCGA-D5-6535,0.9428
PTPN13,TCGA-D5-6535,0.9897
PTPRT,TCGA-D5-6535,-0.9622
RNF213,TCGA-D5-6535,0.9233
RNF43,TCGA-D5-6535,0.8259
ROBO2,TCGA-D5-6535,-0.2761
ROS1,TCGA-D5-6535,0.8233
SMAD4,TCGA-D5-6535,0.7542
TCF7L2,TCGA-D5-6535,2.1762
TNC,TCGA-D5-6535,0.2889
TP53,TCGA-D5-6535,0.421
TRRAP,TCGA-D5-6535,0.9059
ZFHX3,TCGA-D5-6535,-0.2503
ACVR2A,TCGA-D5-6536,-0.5899
AKAP9,TCGA-D5-6536,0.0983
ANK1,TCGA-D5-6536,0.0102
APC,TCGA-D5-6536,-0.3297
ARID1A,TCGA-D5-6536,0.0509
ATM,TCGA-D5-6536,-0.2623
ATRX,TCGA-D5-6536,0.2117
BCL9,TCGA-D5-6536,1.5874
BCL9L,TCGA-D5-6536,-0.6427
BCORL1,TCGA-D5-6536,0.4891
BIRC6,TCGA-D5-6536,-0.1298
BRAF,TCGA-D5-6536,-0.888
BRCA2,TCGA-D5-6536,0.2577
CARD11,TCGA-D5-6536,1.8296
CDH10,TCGA-D5-6536,-1.5957
CDH4,TCGA-D5-6536,-0.6415
CNTNAP2,TCGA-D5-6536,-0.2794
CREBBP,TCGA-D5-6536,0.9376
CSMD3,TCGA-D5-6536,-0.0198
CTNNA2,TCGA-D5-6536,0.7245
DCC,TCGA-D5-6536,-0.8482
ERBB4,TCGA-D5-6536,0.9922
FAM123B,TCGA-D5-6536,-0.5262
FAM47C,TCGA-D5-6536,-1.3237
FAT1,TCGA-D5-6536,0.0211
FAT3,TCGA-D5-6536,0.1249
FAT4,TCGA-D5-6536,-0.2192
FBXW7,TCGA-D5-6536,-0.9645
GRIN2A,TCGA-D5-6536,-0.4434
KRAS,TCGA-D5-6536,-0.233
LRP1B,TCGA-D5-6536,10.3435
MLL3,TCGA-D5-6536,-0.1371
MLL4,TCGA-D5-6536,0.7711
MUC16,TCGA-D5-6536,-0.7828
MYH11,TCGA-D5-6536,0.018
NBEA,TCGA-D5-6536,2.5577
PIK3CA,TCGA-D5-6536,-0.4992
PREX2,TCGA-D5-6536,0.8154
PTPN13,TCGA-D5-6536,0.4711
PTPRT,TCGA-D5-6536,-0.8779
RNF213,TCGA-D5-6536,0.3425
RNF43,TCGA-D5-6536,0.1046
ROBO2,TCGA-D5-6536,0.1196
ROS1,TCGA-D5-6536,-0.4452
SMAD4,TCGA-D5-6536,0.5425
TCF7L2,TCGA-D5-6536,-1.6381
TNC,TCGA-D5-6536,2.0305
TP53,TCGA-D5-6536,0.8649
TRRAP,TCGA-D5-6536,0.6063
ZFHX3,TCGA-D5-6536,0.6267
ACVR2A,TCGA-D5-6537,-1.1221
AKAP9,TCGA-D5-6537,-0.3193
ANK1,TCGA-D5-6537,0.0784
APC,TCGA-D5-6537,-0.6758
ARID1A,TCGA-D5-6537,-0.2529
ATM,TCGA-D5-6537,-0.2928
ATRX,TCGA-D5-6537,0.2543
BCL9,TCGA-D5-6537,-0.584
BCL9L,TCGA-D5-6537,-0.8527
BCORL1,TCGA-D5-6537,0.3652
BIRC6,TCGA-D5-6537,0.416
BRAF,TCGA-D5-6537,-0.4027
BRCA2,TCGA-D5-6537,0.7126
CARD11,TCGA-D5-6537,-0.9798
CDH10,TCGA-D5-6537,-1.5957
CDH4,TCGA-D5-6537,-0.7737
CNTNAP2,TCGA-D5-6537,-1.4284
CREBBP,TCGA-D5-6537,-1.2357
CSMD3,TCGA-D5-6537,-1.1649
CTNNA2,TCGA-D5-6537,-1.2877
DCC,TCGA-D5-6537,-1.0184
ERBB4,TCGA-D5-6537,-1.258
FAM123B,TCGA-D5-6537,0.5658
FAM47C,TCGA-D5-6537,-1.3237
FAT1,TCGA-D5-6537,0.3888
FAT3,TCGA-D5-6537,-1.3896
FAT4,TCGA-D5-6537,-1.8892
FBXW7,TCGA-D5-6537,-0.3542
GRIN2A,TCGA-D5-6537,-1.3662
KRAS,TCGA-D5-6537,0.27
LRP1B,TCGA-D5-6537,-1.1856
MLL3,TCGA-D5-6537,-0.4926
MLL4,TCGA-D5-6537,0.6339
MUC16,TCGA-D5-6537,-0.6645
MYH11,TCGA-D5-6537,-1.7528
NBEA,TCGA-D5-6537,-1.3207
PIK3CA,TCGA-D5-6537,-0.9895
PREX2,TCGA-D5-6537,-1.7246
PTPN13,TCGA-D5-6537,-2.2135
PTPRT,TCGA-D5-6537,-1.3676
RNF213,TCGA-D5-6537,2.0092
RNF43,TCGA-D5-6537,0.894
ROBO2,TCGA-D5-6537,-1.2898
ROS1,TCGA-D5-6537,0.1752
SMAD4,TCGA-D5-6537,0.592
TCF7L2,TCGA-D5-6537,0.3106
TNC,TCGA-D5-6537,-0.4777
TP53,TCGA-D5-6537,0.3929
TRRAP,TCGA-D5-6537,0.3054
ZFHX3,TCGA-D5-6537,-1.3987
ACVR2A,TCGA-D5-6538,0.611
AKAP9,TCGA-D5-6538,1.694
ANK1,TCGA-D5-6538,-1.3564
APC,TCGA-D5-6538,0.5126
ARID1A,TCGA-D5-6538,1.4562
ATM,TCGA-D5-6538,0.5698
ATRX,TCGA-D5-6538,0.5395
BCL9,TCGA-D5-6538,0.368
BCL9L,TCGA-D5-6538,-0.4677
BCORL1,TCGA-D5-6538,1.5452
BIRC6,TCGA-D5-6538,0.9274
BRAF,TCGA-D5-6538,1.8364
BRCA2,TCGA-D5-6538,0.7
CARD11,TCGA-D5-6538,-1.7685
CDH10,TCGA-D5-6538,-1.5957
CDH4,TCGA-D5-6538,-0.0114
CNTNAP2,TCGA-D5-6538,1.6223
CREBBP,TCGA-D5-6538,1.0885
CSMD3,TCGA-D5-6538,-0.1835
CTNNA2,TCGA-D5-6538,-0.75
DCC,TCGA-D5-6538,-0.4562
ERBB4,TCGA-D5-6538,-0.6305
FAM123B,TCGA-D5-6538,0.101
FAM47C,TCGA-D5-6538,-1.3237
FAT1,TCGA-D5-6538,0.4436
FAT3,TCGA-D5-6538,-1.9569
FAT4,TCGA-D5-6538,-0.1389
FBXW7,TCGA-D5-6538,0.0896
GRIN2A,TCGA-D5-6538,-0.5753
KRAS,TCGA-D5-6538,-1.0365
LRP1B,TCGA-D5-6538,-0.6072
MLL3,TCGA-D5-6538,2.2286
MLL4,TCGA-D5-6538,0.7774
MUC16,TCGA-D5-6538,-0.8308
MYH11,TCGA-D5-6538,0.7924
NBEA,TCGA-D5-6538,-0.8924
PIK3CA,TCGA-D5-6538,-0.2657
PREX2,TCGA-D5-6538,-0.1553
PTPN13,TCGA-D5-6538,1.0635
PTPRT,TCGA-D5-6538,-0.7461
RNF213,TCGA-D5-6538,-0.3432
RNF43,TCGA-D5-6538,0.8438
ROBO2,TCGA-D5-6538,1.5009
ROS1,TCGA-D5-6538,-1.3388
SMAD4,TCGA-D5-6538,-0.0844
TCF7L2,TCGA-D5-6538,-0.8738
TNC,TCGA-D5-6538,-0.0804
TP53,TCGA-D5-6538,0.2648
TRRAP,TCGA-D5-6538,1.991
ZFHX3,TCGA-D5-6538,1.875
ACVR2A,TCGA-D5-6539,0.2909
AKAP9,TCGA-D5-6539,1.6733
ANK1,TCGA-D5-6539,-0.6506
APC,TCGA-D5-6539,0.9812
ARID1A,TCGA-D5-6539,1.4718
ATM,TCGA-D5-6539,-0.6549
ATRX,TCGA-D5-6539,-0.0215
BCL9,TCGA-D5-6539,-0.1731
BCL9L,TCGA-D5-6539,0.2974
BCORL1,TCGA-D5-6539,-0.2317
BIRC6,TCGA-D5-6539,1.0092
BRAF,TCGA-D5-6539,0.7544
BRCA2,TCGA-D5-6539,0.2287
CARD11,TCGA-D5-6539,0.0765
CDH10,TCGA-D5-6539,-1.5957
CDH4,TCGA-D5-6539,-0.7336
CNTNAP2,TCGA-D5-6539,1.0114
CREBBP,TCGA-D5-6539,1.2916
CSMD3,TCGA-D5-6539,-0.5798
CTNNA2,TCGA-D5-6539,-1.2877
DCC,TCGA-D5-6539,-1.7203
ERBB4,TCGA-D5-6539,0.2204
FAM123B,TCGA-D5-6539,-0.5615
FAM47C,TCGA-D5-6539,-1.3237
FAT1,TCGA-D5-6539,0.473
FAT3,TCGA-D5-6539,-0.364
FAT4,TCGA-D5-6539,0.9122
FBXW7,TCGA-D5-6539,0.1789
GRIN2A,TCGA-D5-6539,0.4216
KRAS,TCGA-D5-6539,1.1901
LRP1B,TCGA-D5-6539,0.8933
MLL3,TCGA-D5-6539,1.5568
MLL4,TCGA-D5-6539,-0.1843
MUC16,TCGA-D5-6539,-0.6375
MYH11,TCGA-D5-6539,0.4003
NBEA,TCGA-D5-6539,-0.8146
PIK3CA,TCGA-D5-6539,0.5812
PREX2,TCGA-D5-6539,1.9075
PTPN13,TCGA-D5-6539,0.8145
PTPRT,TCGA-D5-6539,0.4512
RNF213,TCGA-D5-6539,-0.2057
RNF43,TCGA-D5-6539,-0.877
ROBO2,TCGA-D5-6539,0.472
ROS1,TCGA-D5-6539,1.3493
SMAD4,TCGA-D5-6539,0.2082
TCF7L2,TCGA-D5-6539,1.6568
TNC,TCGA-D5-6539,-0.3285
TP53,TCGA-D5-6539,-0.3026
TRRAP,TCGA-D5-6539,1.1128
ZFHX3,TCGA-D5-6539,0.7043
ACVR2A,TCGA-D5-6540,-1.9192
AKAP9,TCGA-D5-6540,0.0191
ANK1,TCGA-D5-6540,1.4704
APC,TCGA-D5-6540,0.1844
ARID1A,TCGA-D5-6540,1.4112
ATM,TCGA-D5-6540,-0.1661
ATRX,TCGA-D5-6540,-0.4353
BCL9,TCGA-D5-6540,-0.5608
BCL9L,TCGA-D5-6540,1.2537
BCORL1,TCGA-D5-6540,0.2851
BIRC6,TCGA-D5-6540,0.0703
BRAF,TCGA-D5-6540,-0.0679
BRCA2,TCGA-D5-6540,0.5165
CARD11,TCGA-D5-6540,-1.2775
CDH10,TCGA-D5-6540,-1.5957
CDH4,TCGA-D5-6540,-1.3192
CNTNAP2,TCGA-D5-6540,-0.1495
CREBBP,TCGA-D5-6540,0.2443
CSMD3,TCGA-D5-6540,-1.1649
CTNNA2,TCGA-D5-6540,-1.2877
DCC,TCGA-D5-6540,-1.7203
ERBB4,TCGA-D5-6540,-1.258
FAM123B,TCGA-D5-6540,-1.506
FAM47C,TCGA-D5-6540,-1.3237
FAT1,TCGA-D5-6540,0.4626
FAT3,TCGA-D5-6540,-1.1003
FAT4,TCGA-D5-6540,-0.8197
FBXW7,TCGA-D5-6540,0.3406
GRIN2A,TCGA-D5-6540,-1.3662
KRAS,TCGA-D5-6540,-0.0507
LRP1B,TCGA-D5-6540,-1.1856
MLL3,TCGA-D5-6540,0.0272
MLL4,TCGA-D5-6540,0.5963
MUC16,TCGA-D5-6540,2.0289
MYH11,TCGA-D5-6540,-0.5679
NBEA,TCGA-D5-6540,1.8167
PIK3CA,TCGA-D5-6540,-0.017
PREX2,TCGA-D5-6540,-0.0341
PTPN13,TCGA-D5-6540,-1.3814
PTPRT,TCGA-D5-6540,-1.8123
RNF213,TCGA-D5-6540,0.9923
RNF43,TCGA-D5-6540,-2.1774
ROBO2,TCGA-D5-6540,-1.0088
ROS1,TCGA-D5-6540,0.2447
SMAD4,TCGA-D5-6540,1.662
TCF7L2,TCGA-D5-6540,1.3793
TNC,TCGA-D5-6540,0.8584
TP53,TCGA-D5-6540,0.0705
TRRAP,TCGA-D5-6540,0.2612
ZFHX3,TCGA-D5-6540,-0.6075
ACVR2A,TCGA-D5-6541,-0.409
AKAP9,TCGA-D5-6541,-0.4398
ANK1,TCGA-D5-6541,0.8726
APC,TCGA-D5-6541,0.7843
ARID1A,TCGA-D5-6541,-0.7181
ATM,TCGA-D5-6541,0.1789
ATRX,TCGA-D5-6541,-0.2003
BCL9,TCGA-D5-6541,0.4605
BCL9L,TCGA-D5-6541,0.6741
BCORL1,TCGA-D5-6541,-1.3759
BIRC6,TCGA-D5-6541,-0.337
BRAF,TCGA-D5-6541,-0.1212
BRCA2,TCGA-D5-6541,-2.2624
CARD11,TCGA-D5-6541,0.9104
CDH10,TCGA-D5-6541,-1.5957
CDH4,TCGA-D5-6541,-0.2147
CNTNAP2,TCGA-D5-6541,-2.3969
CREBBP,TCGA-D5-6541,0.3155
CSMD3,TCGA-D5-6541,-1.1649
CTNNA2,TCGA-D5-6541,-0.5049
DCC,TCGA-D5-6541,0.2819
ERBB4,TCGA-D5-6541,-0.7479
FAM123B,TCGA-D5-6541,0.5049
FAM47C,TCGA-D5-6541,-1.3237
FAT1,TCGA-D5-6541,1.0786
FAT3,TCGA-D5-6541,1.7616
FAT4,TCGA-D5-6541,-0.2373
FBXW7,TCGA-D5-6541,0.0583
GRIN2A,TCGA-D5-6541,0.0346
KRAS,TCGA-D5-6541,-0.6455
LRP1B,TCGA-D5-6541,-1.1856
MLL3,TCGA-D5-6541,0.1733
MLL4,TCGA-D5-6541,-0.372
MUC16,TCGA-D5-6541,-1.0807
MYH11,TCGA-D5-6541,0.583
NBEA,TCGA-D5-6541,0.3645
PIK3CA,TCGA-D5-6541,0.4187
PREX2,TCGA-D5-6541,0.4344
PTPN13,TCGA-D5-6541,-0.6152
PTPRT,TCGA-D5-6541,-1.8123
RNF213,TCGA-D5-6541,0.8678
RNF43,TCGA-D5-6541,0.1212
ROBO2,TCGA-D5-6541,-1.0871
ROS1,TCGA-D5-6541,-0.4146
SMAD4,TCGA-D5-6541,-0.1692
TCF7L2,TCGA-D5-6541,-0.4515
TNC,TCGA-D5-6541,-0.6247
TP53,TCGA-D5-6541,-0.307
TRRAP,TCGA-D5-6541,-0.66
ZFHX3,TCGA-D5-6541,1.1599
ACVR2A,TCGA-D5-6898,-0.9116
AKAP9,TCGA-D5-6898,0.5185
ANK1,TCGA-D5-6898,0.1182
APC,TCGA-D5-6898,0.6534
ARID1A,TCGA-D5-6898,0.9244
ATM,TCGA-D5-6898,-0.7256
ATRX,TCGA-D5-6898,0.3945
BCL9,TCGA-D5-6898,0.4346
BCL9L,TCGA-D5-6898,0.3094
BCORL1,TCGA-D5-6898,0.6029
BIRC6,TCGA-D5-6898,0.392
BRAF,TCGA-D5-6898,1.1259
BRCA2,TCGA-D5-6898,0.1295
CARD11,TCGA-D5-6898,-0.4952
CDH10,TCGA-D5-6898,-1.5957
CDH4,TCGA-D5-6898,-0.177
CNTNAP2,TCGA-D5-6898,-0.5831
CREBBP,TCGA-D5-6898,0.658
CSMD3,TCGA-D5-6898,-0.684
CTNNA2,TCGA-D5-6898,-0.3138
DCC,TCGA-D5-6898,-1.7203
ERBB4,TCGA-D5-6898,-1.258
FAM123B,TCGA-D5-6898,0.6825
FAM47C,TCGA-D5-6898,-1.3237
FAT1,TCGA-D5-6898,-0.3811
FAT3,TCGA-D5-6898,0.7282
FAT4,TCGA-D5-6898,0.7653
FBXW7,TCGA-D5-6898,-1.1969
GRIN2A,TCGA-D5-6898,1.9156
KRAS,TCGA-D5-6898,-0.1759
LRP1B,TCGA-D5-6898,1.4527
MLL3,TCGA-D5-6898,0.7618
MLL4,TCGA-D5-6898,0.4548
MUC16,TCGA-D5-6898,-0.1548
MYH11,TCGA-D5-6898,1.8019
NBEA,TCGA-D5-6898,0.6721
PIK3CA,TCGA-D5-6898,1.0292
PREX2,TCGA-D5-6898,0.8926
PTPN13,TCGA-D5-6898,0.0166
PTPRT,TCGA-D5-6898,2.0313
RNF213,TCGA-D5-6898,0.9995
RNF43,TCGA-D5-6898,0.3269
ROBO2,TCGA-D5-6898,-0.4494
ROS1,TCGA-D5-6898,4.43
SMAD4,TCGA-D5-6898,-0.5887
TCF7L2,TCGA-D5-6898,-2.3118
TNC,TCGA-D5-6898,1.1026
TP53,TCGA-D5-6898,0.4028
TRRAP,TCGA-D5-6898,1.1597
ZFHX3,TCGA-D5-6898,0.6543
ACVR2A,TCGA-D5-6920,-1.0857
AKAP9,TCGA-D5-6920,1.0363
ANK1,TCGA-D5-6920,0.4657
APC,TCGA-D5-6920,0.1215
ARID1A,TCGA-D5-6920,0.9084
ATM,TCGA-D5-6920,-0.0954
ATRX,TCGA-D5-6920,-0.4855
BCL9,TCGA-D5-6920,-0.0527
BCL9L,TCGA-D5-6920,0.1643
BCORL1,TCGA-D5-6920,-0.1038
BIRC6,TCGA-D5-6920,0.8553
BRAF,TCGA-D5-6920,0.4246
BRCA2,TCGA-D5-6920,-0.01
CARD11,TCGA-D5-6920,0.2077
CDH10,TCGA-D5-6920,-1.5957
CDH4,TCGA-D5-6920,0.3489
CNTNAP2,TCGA-D5-6920,-0.826
CREBBP,TCGA-D5-6920,-0.0636
CSMD3,TCGA-D5-6920,-0.2753
CTNNA2,TCGA-D5-6920,-0.3908
DCC,TCGA-D5-6920,0.8905
ERBB4,TCGA-D5-6920,-1.258
FAM123B,TCGA-D5-6920,-0.3096
FAM47C,TCGA-D5-6920,-1.3237
FAT1,TCGA-D5-6920,1.7705
FAT3,TCGA-D5-6920,0.3611
FAT4,TCGA-D5-6920,0.7127
FBXW7,TCGA-D5-6920,0.0852
GRIN2A,TCGA-D5-6920,0.2672
KRAS,TCGA-D5-6920,0.2622
LRP1B,TCGA-D5-6920,-0.6678
MLL3,TCGA-D5-6920,0.8674
MLL4,TCGA-D5-6920,0.3259
MUC16,TCGA-D5-6920,-0.857
MYH11,TCGA-D5-6920,-0.0035
NBEA,TCGA-D5-6920,-0.4356
PIK3CA,TCGA-D5-6920,0.1674
PREX2,TCGA-D5-6920,0.8484
PTPN13,TCGA-D5-6920,-0.5692
PTPRT,TCGA-D5-6920,0.7377
RNF213,TCGA-D5-6920,0.7419
RNF43,TCGA-D5-6920,0.0881
ROBO2,TCGA-D5-6920,0.2139
ROS1,TCGA-D5-6920,0.7631
SMAD4,TCGA-D5-6920,0.371
TCF7L2,TCGA-D5-6920,1.5436
TNC,TCGA-D5-6920,1.0249
TP53,TCGA-D5-6920,0.4136
TRRAP,TCGA-D5-6920,0.7227
ZFHX3,TCGA-D5-6920,-1.3376
ACVR2A,TCGA-D5-6922,-1.1855
AKAP9,TCGA-D5-6922,0.6629
ANK1,TCGA-D5-6922,-0.1186
APC,TCGA-D5-6922,-0.1989
ARID1A,TCGA-D5-6922,1.171
ATM,TCGA-D5-6922,0.9511
